Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1961","1961","ha","657000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1961","1961","kg/ha","828","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1961","1961","t","544000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1962","1962","ha","654000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1962","1962","kg/ha","830.3","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1962","1962","t","543000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1963","1963","ha","645000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1963","1963","kg/ha","798.4","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1963","1963","t","515000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1964","1964","ha","644000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1964","1964","kg/ha","875.8","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1964","1964","t","564000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1965","1965","ha","603000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1965","1965","kg/ha","932","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1965","1965","t","562000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1966","1966","ha","609000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1966","1966","kg/ha","824.3","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1966","1966","t","502000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1967","1967","ha","632200","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1967","1967","kg/ha","814.6","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1967","1967","t","515000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1968","1968","ha","653000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1968","1968","kg/ha","805.7","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1968","1968","t","526148","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1969","1969","ha","721000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1969","1969","kg/ha","898.9","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1969","1969","t","648090","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1970","1970","ha","632000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1970","1970","kg/ha","911.3","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1970","1970","t","575915","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1971","1971","ha","649000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1971","1971","kg/ha","805.7","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1971","1971","t","522928","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1972","1972","ha","658000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1972","1972","kg/ha","780.3","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1972","1972","t","513417","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1973","1973","ha","718000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1973","1973","kg/ha","764","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1973","1973","t","548578","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1974","1974","ha","721000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1974","1974","kg/ha","712.6","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1974","1974","t","513764","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1975","1975","ha","721000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1975","1975","kg/ha","773.9","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1975","1975","t","558000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1976","1976","ha","726000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1976","1976","kg/ha","775.5","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1976","1976","t","563000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1977","1977","ha","713000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1977","1977","kg/ha","603.1","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1977","1977","t","430000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1978","1978","ha","712000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1978","1978","kg/ha","667.1","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1978","1978","t","475000","X","Figure from international organizations",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1979","1979","ha","709000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1979","1979","kg/ha","509.2","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1979","1979","t","361000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1980","1980","ha","704000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1980","1980","kg/ha","617.9","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1980","1980","t","435000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1981","1981","ha","700500","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1981","1981","kg/ha","451.1","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1981","1981","t","316000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1982","1982","ha","699000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1982","1982","kg/ha","450.6","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1982","1982","t","315000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1983","1983","ha","695400","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1983","1983","kg/ha","484.6","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1983","1983","t","337000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1984","1984","ha","688800","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1984","1984","kg/ha","466","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1984","1984","t","321000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1985","1985","ha","685800","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1985","1985","kg/ha","449.1","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1985","1985","t","308000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1986","1986","ha","899000","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1986","1986","kg/ha","379.8","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1986","1986","t","341400","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1987","1987","ha","956000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1987","1987","kg/ha","381.2","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1987","1987","t","364400","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1988","1988","ha","1006000","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1988","1988","kg/ha","332.4","E","Estimated value",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1988","1988","t","334400","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1989","1989","ha","982000","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1989","1989","kg/ha","277.4","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1989","1989","t","272400","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","1717","Cereals, primary","1990","1990","ha","774281","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5412","Yield","1717","Cereals, primary","1990","1990","kg/ha","320.9","A","Official figure",""
"QCL","Crops and livestock products","7","Angola","5510","Production","1717","Cereals, primary","1990","1990","t","248500","A","Official figure",""
